communication_round,dataset,example_count,input_event_count,measured,model,padded_time_bins,predicted,residual,scientific_seed,selected_position,setting
25,shd,334,2671322,1.290773327,event_structure,33142,1.2179281337840289,-0.07284519321597105,27,5,joint
25,shd,411,3262375,1.498282361,event_structure,41649,1.4297957137719957,-0.06848664722800435,27,6,joint
25,shd,565,4653617,2.097193688,event_structure,60551,2.003630794961751,-0.09356289303824905,27,7,joint
25,shd,224,1835566,0.930745567,event_structure,23744,0.8959784113543741,-0.034767155645625936,27,8,joint
25,shd,342,2529508,1.326109115,event_structure,35434,1.242781843796112,-0.08332727120388794,27,9,joint
26,shd,411,3262375,1.520563693,event_structure,41834,1.4326044582821202,-0.0879592347178797,27,0,joint
26,shd,303,2395541,1.171419395,event_structure,30455,1.1350632821674864,-0.03635611283251361,27,1,joint
26,shd,462,3935332,1.780230169,event_structure,48020,1.6523913780773647,-0.12783879092263528,27,2,joint
26,shd,384,3096790,1.366861282,event_structure,38912,1.35503979219631,-0.01182148980368991,27,3,joint
26,shd,224,1835566,0.9066667,event_structure,22912,0.901134587878186,-0.005532112121814037,27,4,joint
26,shd,565,4653617,2.116577903,event_structure,59937,1.9891930523724692,-0.1273848506275308,27,5,joint
26,shd,363,2801406,1.334581875,event_structure,36253,1.352710237720113,0.018128362720112978,27,6,joint
26,shd,255,1923656,1.043710587,event_structure,27629,1.0651105178079598,0.021399930807959766,27,7,joint
26,shd,355,2945691,1.487495023,event_structure,38620,1.367118639227006,-0.12037638377299387,27,8,joint
26,shd,476,3422977,1.733902254,event_structure,49132,1.6540135498418094,-0.0798887041581906,27,9,joint
27,shd,342,2529508,1.326235123,event_structure,35320,1.241497170092348,-0.08473795290765196,27,0,joint
27,shd,255,1923656,1.041413553,event_structure,27504,1.0649846907705651,0.023571137770565187,27,1,joint
27,shd,326,2486328,1.356268633,event_structure,33876,1.2216382528036451,-0.13463038019635487,27,2,joint
27,shd,384,2739089,1.496065993,event_structure,41280,1.3972303919460352,-0.09883560105396483,27,3,joint
27,shd,363,2801406,1.405632733,event_structure,36251,1.3526908360864862,-0.05294189691351381,27,4,joint
27,shd,476,3422977,1.740379033,event_structure,49672,1.664710063382798,-0.07566896961720193,27,5,joint
27,shd,462,3935332,1.739943779,event_structure,47150,1.6367188674974722,-0.10322491150252788,27,6,joint
27,shd,565,4653617,2.166860319,event_structure,60795,2.009430183294076,-0.157430135705924,27,7,joint
27,shd,224,1835566,0.901638754,event_structure,23072,0.8999207653479164,-0.001717988652083613,27,8,joint
27,shd,334,2671322,1.345848907,event_structure,34266,1.2281798496888596,-0.1176690573111403,27,9,joint
28,shd,326,2486328,1.31965198,event_structure,34768,1.2313692252320925,-0.08828275476790748,27,0,joint
