communication_round,dataset,measured_process_load_seconds,predicted_process_load_seconds,process_index,scientific_seed
41,shd,3.0901254060000003,3.195418908059559,1,7
41,shd,3.128299621,3.1842462053207274,2,7
41,shd,3.6959063070000004,3.7536339723025556,3,7
42,shd,3.506438879,3.576742219056417,0,7
42,shd,3.788456567,3.9043797536367153,1,7
42,shd,2.921893261,3.026300230043459,2,7
42,shd,2.945558503,3.0274522375208006,3,7
43,shd,3.417999077,3.4657228934485422,0,7
43,shd,2.823404191,2.88775672308428,1,7
43,shd,3.6351433199999996,3.7437047006139057,2,7
43,shd,2.906262361,2.9685785724967246,3,7
44,shd,3.3826912579999995,3.480019003403414,0,7
44,shd,3.526676777,3.569478690879694,1,7
44,shd,2.9671886499999998,3.1050360313311804,2,7
44,shd,3.1089899,3.1074901182580454,3,7
45,shd,4.239743798,4.255749624835053,0,7
45,shd,3.126184638,3.182508720029353,1,7
45,shd,3.1271471770000003,3.20945952573848,2,7
45,shd,4.243669435,4.257195165247844,3,7
46,shd,3.891080409,3.966321238367784,0,7
46,shd,2.918654098,3.022038110742783,1,7
46,shd,2.839429346,2.9740467003141875,2,7
46,shd,3.451259103,3.5827754181888984,3,7
47,shd,4.003422853,4.063690108759582,0,7
47,shd,3.621797539,3.683467152409353,1,7
47,shd,3.143458604,3.2287604925796645,2,7
47,shd,3.124829501,3.2082284272507913,3,7
48,shd,3.281192333,3.333311044831957,0,7
48,shd,2.705168177,2.781652640062049,1,7
48,shd,3.315845608,3.3593101238792764,2,7
48,shd,2.7062295919999997,2.827371558315007,3,7
49,shd,4.098749184,4.176718702052588,0,7
49,shd,3.021639671,3.1655479620648874,1,7
49,shd,3.1714788809999996,3.1890973711040234,2,7
49,shd,4.104707926000001,4.205008504651147,3,7
50,shd,4.228089950999999,4.25246597003103,0,7
50,shd,3.0620878449999998,3.1849602708621942,1,7
50,shd,3.169296241,3.2327733447506546,2,7
50,shd,4.1548851849999995,4.237209666359537,3,7
51,shd,3.8732760909999997,3.9674444237401607,0,7
51,shd,3.548401569,3.563695526900097,1,7
51,shd,3.020314539,3.165679162580962,2,7
51,shd,3.1369128,3.232844481794638,3,7
52,shd,3.4120515,3.4687708600793474,0,7
52,shd,2.874498955,2.914873969125556,1,7
52,shd,2.752925747,2.8307033460331974,2,7
52,shd,3.367516501,3.410063121667264,3,7
53,shd,3.705409361,3.753018019726321,0,7
53,shd,3.7637037189999996,3.832936720850271,1,7
53,shd,3.123411038,3.2299771540581297,2,7
53,shd,3.236556345,3.2885163461566638,3,7
54,shd,3.670037509,3.723330168082745,0,7
54,shd,3.0577369809999997,3.160547082529985,1,7
54,shd,3.016424179,3.1116858683925557,2,7
54,shd,3.696119371,3.741151010954078,3,7
55,shd,3.571690356,3.5756397193419787,0,7
55,shd,2.971792417,3.049141568350567,1,7
55,shd,3.516941835,3.5347228754263105,2,7
55,shd,2.91129603,2.9998794011814542,3,7
56,shd,4.024549500999999,4.10221270674195,0,7
56,shd,3.136347026,3.229481304852034,1,7
56,shd,3.180120186,3.2159654467891094,2,7
56,shd,4.418822969,4.456665455241528,3,7
57,shd,2.7984070369999996,2.8627246707626943,0,7
57,shd,3.314997151,3.4060021829907505,1,7
57,shd,2.735534865,2.812397471660698,2,7
57,shd,3.6696190250000003,3.8032859739169007,3,7
58,shd,3.026716326,2.908901038161929,0,7
58,shd,2.960131217,2.944993544646633,1,7
58,shd,3.9201885979999997,3.8414806295832733,2,7
58,shd,3.481250472,3.522851828213124,3,7
59,shd,3.4032806449999997,3.4471066331504767,0,7
59,shd,2.826370164,2.9130514726953987,1,7
59,shd,2.743973178,2.8243909569786085,2,7
59,shd,3.5927363750000003,3.6750270966512604,3,7
60,shd,3.4733108660000003,3.538159997904799,0,7
60,shd,2.8646577349999998,2.89992213782908,1,7
60,shd,3.957445642,4.002982481520827,2,7
60,shd,2.868917574,2.955088978434259,3,7
61,shd,3.2931930339999997,3.3566141718077045,0,7
61,shd,2.783959801,2.8246771470328245,1,7
61,shd,2.641822623,2.729588668659537,2,7
61,shd,3.17399049,3.2649122700501882,3,7
62,shd,4.197521187,4.235887984434661,0,7
62,shd,3.678667635,3.699452906295316,1,7
62,shd,3.084408186,3.1594142691237916,2,7
62,shd,3.10206496,3.131713955655007,3,7
63,shd,3.6725979850000003,3.7090151888082588,0,7
63,shd,2.8164829840000003,2.8914905109636653,1,7
63,shd,3.429125848,3.468227487376293,2,7
63,shd,2.887155679,2.955944908081409,3,7
64,shd,4.157294122,4.160718437759282,0,7
64,shd,3.6167908659999997,3.680042900505504,1,7
64,shd,3.203688809,3.22147199945952,2,7
64,shd,3.176415555,3.1882528515248962,3,7
65,shd,4.004986043000001,4.047693320616418,0,7
65,shd,3.084630838,3.163892319808312,1,7
65,shd,3.041660027,3.1173439591486716,2,7
65,shd,3.704707607,3.684871218376051,3,7
66,shd,3.5852853730000005,3.5923901063717496,0,7
66,shd,3.055518184,3.164769539675195,1,7
66,shd,3.080223051,3.1422261069717665,2,7
66,shd,3.759361204,3.740477854402897,3,7
67,shd,3.130281375,3.098337298222072,0,7
67,shd,3.045827369,3.144373512429789,1,7
67,shd,2.499182876,2.6171483128568616,2,7
67,shd,2.3991314069999996,2.5205475688590226,3,7
