group_dimension,group_value,mean_absolute_error,mean_signed_error,median_absolute_error,median_absolute_percentage_error,median_signed_error,model,p90_absolute_error,p90_absolute_percentage_error,percentage_denominator_floor,r_squared,root_mean_squared_error,sample_count,setting,spearman_rank_correlation,target
by_communication_round_interval,41-60,0.0667953802735491,-0.06645254915765443,0.05868626714883185,0.042171371887989036,-0.05868626714883185,size,0.1313637336117331,0.08171193477763802,0.001,0.9048879729754084,0.07981077298387264,200,shd_within_dataset,0.9573093059241915,client_wall_time_seconds
by_communication_round_interval,61-80,0.0799699756527675,-0.07992282151862201,0.06941122394755983,0.05161808714788982,-0.06941122394755983,size,0.14092564219827577,0.08826547714744779,0.001,0.8856175366305157,0.09411298465330765,200,shd_within_dataset,0.966737571116882,client_wall_time_seconds
by_communication_round_interval,81-100,0.0764695123498173,-0.07595843627626561,0.07137065553968147,0.05065286254946215,-0.07137065553968147,size,0.14584798591173298,0.0846178794354115,0.001,0.8921183587232382,0.09052955276350305,200,shd_within_dataset,0.9545743558568125,client_wall_time_seconds
without_history,all,0.09271466603459921,-0.0925689294326764,0.0747419895014112,0.050988744304185304,-0.0747419895014112,size,0.14123800907237313,0.08919525692047096,0.001,0.7895321094655883,0.13731070823580835,20,shd_within_dataset,0.963130445712273,client_wall_time_seconds
with_history,all,0.07144890165732015,-0.07089165627532525,0.0633882240429996,0.04632628294178524,-0.0633882240429996,size,0.13162139337734022,0.08172149562593418,0.001,0.9007387156711826,0.08484863824737726,980,shd_within_dataset,0.9611038719514915,client_wall_time_seconds
joint,all,0.07099757662392982,-0.07099207236611912,0.06601155897066269,0.04802493874972329,-0.06601155897066269,event_structure,0.10860461404941119,0.06774759805948669,0.001,0.914171139523638,0.07908716409816233,1000,shd_within_dataset,0.9861320399316242,client_wall_time_seconds
per_dataset,shd,0.07099757662392982,-0.07099207236611912,0.06601155897066269,0.04802493874972329,-0.06601155897066269,event_structure,0.10860461404941119,0.06774759805948669,0.001,0.914171139523638,0.07908716409816233,1000,shd_within_dataset,0.9861320399316242,client_wall_time_seconds
per_seed,27,0.07099757662392982,-0.07099207236611912,0.06601155897066269,0.04802493874972329,-0.06601155897066269,event_structure,0.10860461404941119,0.06774759805948669,0.001,0.914171139523638,0.07908716409816233,1000,shd_within_dataset,0.9861320399316242,client_wall_time_seconds
by_client_size_quartile,1,0.050856832287987604,-0.05083418102127691,0.04896456143556738,0.04658668874806312,-0.04896456143556738,event_structure,0.07592275338473198,0.06697106932841705,0.001,0.8160124005851038,0.05548587031900459,243,shd_within_dataset,0.9593782767504473,client_wall_time_seconds
by_client_size_quartile,2,0.061983460662573556,-0.061983460662573556,0.06087086447710588,0.04706136063258817,-0.06087086447710588,event_structure,0.0871079853422502,0.06583339338758551,0.001,-4.6172902268625045,0.06541332179488822,187,shd_within_dataset,0.6188755524952496,client_wall_time_seconds
