absolute_error_seconds,dataset,model
0.6736811219999999,shd,constant
1.045704481,shd,constant
0.526754935,shd,constant
0.614235686,shd,constant
0.823679045,shd,constant
0.12240576199999986,shd,constant
0.669245224,shd,constant
0.5352813599999999,shd,constant
0.6296217929999999,shd,constant
0.5654600509999999,shd,constant
0.42886300099999985,shd,constant
0.9113393779999999,shd,constant
0.6777992659999998,shd,constant
0.779392265,shd,constant
0.5309922759999999,shd,constant
0.21872013700000004,shd,constant
0.21696373000000002,shd,constant
0.6221255189999999,shd,constant
0.559973139,shd,constant
0.665670076,shd,constant
0.23878207099999993,shd,constant
0.2017056810000002,shd,constant
0.2537373089999999,shd,constant
0.44880381599999986,shd,constant
0.6553904419999999,shd,constant
0.33511301799999993,shd,constant
0.6273822609999999,shd,constant
0.9031252969999999,shd,constant
0.17111093399999988,shd,constant
0.47988155899999985,shd,constant
0.6286570149999999,shd,constant
0.5803573049999999,shd,constant
0.24599230400000005,shd,constant
0.9009692169999999,shd,constant
0.7674438399999999,shd,constant
0.19809866399999998,shd,constant
0.6527104399999999,shd,constant
0.672734918,shd,constant
0.678414933,shd,constant
0.22278748000000004,shd,constant
0.541713471,shd,constant
0.5006692419999998,shd,constant
0.662754209,shd,constant
0.5171107479999999,shd,constant
0.6611888699999999,shd,constant
0.20766981500000004,shd,constant
0.8185312899999999,shd,constant
0.6005007119999999,shd,constant
0.9373799519999999,shd,constant
0.671255036,shd,constant
0.19087934900000003,shd,constant
0.528687406,shd,constant
0.17209669000000005,shd,constant
0.669679744,shd,constant
0.394519775,shd,constant
0.645636047,shd,constant
0.6410624889999998,shd,constant
0.5278040659999998,shd,constant
0.505766916,shd,constant
0.483442602,shd,constant
0.7834179299999999,shd,constant
0.13340247699999996,shd,constant
0.6657066839999999,shd,constant
0.9404163919999999,shd,constant
1.0419339989999998,shd,constant
0.419165378,shd,constant
0.7015137219999998,shd,constant
0.11824327700000015,shd,constant
0.47356632,shd,constant
0.497929914,shd,constant
0.579435283,shd,constant
0.792545687,shd,constant
0.1461044210000002,shd,constant
0.3805186279999999,shd,constant
0.635323327,shd,constant
0.667944519,shd,constant
0.6015646239999999,shd,constant
0.6823265859999998,shd,constant
0.770819825,shd,constant
0.2195681949999999,shd,constant
0.6866437969999999,shd,constant
0.6841684639999999,shd,constant
0.94069837,shd,constant
1.0608165999999999,shd,constant
0.5574352499999999,shd,constant
0.5048485679999999,shd,constant
0.2551142799999999,shd,constant
0.796317919,shd,constant
0.460368643,shd,constant
0.5298762109999999,shd,constant
0.14385714700000007,shd,constant
0.41742468200000005,shd,constant
0.5315225690000001,shd,constant
0.20962377599999993,shd,constant
0.5707970169999999,shd,constant
0.10202786399999986,shd,constant
0.53838152,shd,constant
0.46609825799999993,shd,constant
0.676984008,shd,constant
0.7489246269999998,shd,constant
0.39383802899999987,shd,constant
0.22692523499999995,shd,constant
0.2689225559999999,shd,constant
0.4560016309999999,shd,constant
0.20827751000000005,shd,constant
0.802546349,shd,constant
1.062297354,shd,constant
0.36045333999999984,shd,constant
0.648379783,shd,constant
0.872687266,shd,constant
0.487285218,shd,constant
0.2112269389999999,shd,constant
1.063578703,shd,constant
0.20943676099999986,shd,constant
0.6204759129999999,shd,constant
0.5003416489999999,shd,constant
0.4920247849999999,shd,constant
0.44057129399999995,shd,constant
0.650038522,shd,constant
0.4988605639999999,shd,constant
0.8209143239999999,shd,constant
0.575532157,shd,constant
0.646819748,shd,constant
0.785011481,shd,constant
0.443289504,shd,constant
0.9315710179999999,shd,constant
0.4602360219999999,shd,constant
0.5420242639999999,shd,constant
0.794810421,shd,constant
0.27786778,shd,constant
0.628947843,shd,constant
0.34947219499999993,shd,constant
0.23499213600000002,shd,constant
0.6374050869999999,shd,constant
0.472911855,shd,constant
0.8276765369999999,shd,constant
1.071584467,shd,constant
0.665465714,shd,constant
0.43590273,shd,constant
0.522285587,shd,constant
0.249013315,shd,constant
0.13225411200000026,shd,constant
0.772815252,shd,constant
0.39854827000000004,shd,constant
0.447485149,shd,constant
0.6529068069999999,shd,constant
0.801654646,shd,constant
0.15460348199999996,shd,constant
0.6023886199999999,shd,constant
0.657672231,shd,constant
1.081936259,shd,constant
0.2252199479999999,shd,constant
0.605697664,shd,constant
0.52137492,shd,constant
0.80442898,shd,constant
0.7987627769999999,shd,constant
0.955212932,shd,constant
0.1987140249999999,shd,constant
0.389519956,shd,constant
0.493468255,shd,constant
0.6768743559999999,shd,constant
0.20451766999999998,shd,constant
0.642759853,shd,constant
0.208092371,shd,constant
0.480212788,shd,constant
0.6900000659999999,shd,constant
0.4755257289999999,shd,constant
0.623276851,shd,constant
0.17982416899999998,shd,constant
0.44286236199999984,shd,constant
0.46460614499999986,shd,constant
0.39006615099999986,shd,constant
0.5283216529999999,shd,constant
0.184179039,shd,constant
0.8215755309999999,shd,constant
0.4980117339999999,shd,constant
0.21312588600000004,shd,constant
0.794624062,shd,constant
0.6912906269999999,shd,constant
0.6836114789999999,shd,constant
0.5024489429999999,shd,constant
0.5752671519999999,shd,constant
0.21837949099999987,shd,constant
0.488756749,shd,constant
0.688777854,shd,constant
0.26754525799999995,shd,constant
0.5911143029999999,shd,constant
0.6987834129999999,shd,constant
0.19684264799999984,shd,constant
0.930264843,shd,constant
0.49949288300000005,shd,constant
0.14471183399999998,shd,constant
0.508930616,shd,constant
0.606045156,shd,constant
0.707336974,shd,constant
0.24739171199999999,shd,constant
0.705631798,shd,constant
0.9234688719999999,shd,constant
0.545982969,shd,constant
0.758954237,shd,constant
0.7841395709999999,shd,constant
0.5215236029999999,shd,constant
0.7973613739999998,shd,constant
0.670377607,shd,constant
0.6540764809999999,shd,constant
0.27175865,shd,constant
0.5886125949999998,shd,constant
0.664134969,shd,constant
0.13706726999999996,shd,constant
0.5396590779999999,shd,constant
0.65390423,shd,constant
0.511943051,shd,constant
0.15875124600000023,shd,constant
0.4652279429999999,shd,constant
1.050217064,shd,constant
0.5384972189999999,shd,constant
0.43533759000000005,shd,constant
0.926543763,shd,constant
0.507389705,shd,constant
0.26991673399999994,shd,constant
0.22190098699999994,shd,constant
0.6799286679999998,shd,constant
0.940805831,shd,constant
0.5241181159999999,shd,constant
0.8211103119999998,shd,constant
1.0485912599999998,shd,constant
0.23864741300000003,shd,constant
0.26075301100000003,shd,constant
0.6795955229999999,shd,constant
0.6987778929999999,shd,constant
0.4408252049999999,shd,constant
0.5182830189999998,shd,constant
0.801836392,shd,constant
0.44265114799999994,shd,constant
0.811445288,shd,constant
0.477786426,shd,constant
0.21573988200000005,shd,constant
0.6807497679999999,shd,constant
0.688255931,shd,constant
0.16126037199999987,shd,constant
0.601979922,shd,constant
0.6608991909999999,shd,constant
0.471220467,shd,constant
0.18860732899999988,shd,constant
0.596541008,shd,constant
0.6779942809999999,shd,constant
0.22965447000000005,shd,constant
0.48659540599999995,shd,constant
0.7062703260000001,shd,constant
0.845666604,shd,constant
0.950424296,shd,constant
0.7162329119999999,shd,constant
1.08589052,shd,constant
0.47341747099999987,shd,constant
0.3723892309999999,shd,constant
0.193247414,shd,constant
0.13292867900000016,shd,constant
0.47165408900000005,shd,constant
0.9674673549999999,shd,constant
0.20050897199999995,shd,constant
0.694865249,shd,constant
0.2054775929999999,shd,constant
0.691627403,shd,constant
0.8048911699999999,shd,constant
0.654600297,shd,constant
0.827566802,shd,constant
0.40640520699999994,shd,constant
1.0679808569999998,shd,constant
0.21255182699999997,shd,constant
